data,Benchmark,MeanVariance,MeanVariance_cd,CLA,CLA_cd,HRP,HRP_cd,nonconvex,nonconvex_cd,random,equal_weight
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-31,0.027818181818181742,0.0340372496518222,0.0340372496518222,0.0340372496518222,0.0340372496518222,0.01823386227000845,0.01823386227000845,0.024041134747591952,0.024041134747591952,0.05041840570623224,0.03524840701710086
2018-08-31,0.05347004808388145,0.14223802565963095,0.15159059595644653,0.14223802565963095,0.15146223772801504,0.03755830813508565,0.038692182222946236,0.05384861492529347,0.05384861492529347,0.0864988347086606,0.08700190753147607
2018-09-30,0.05827859446444994,0.19929099146617268,0.2113557304867666,0.19929099146617268,0.21030269112714972,0.03683309475715901,0.04095428621815467,0.06207433761919168,0.0633320723496471,0.10581283824147181,0.11877946345281942
2018-10-31,0.0023111800436489416,0.07240711459863602,0.08553801448584042,0.07240711459863602,0.08812941979439093,-0.0234746399074377,-0.02421051466411328,0.0014940451344749306,0.0016140053968202173,0.022746067663459435,0.022577008145152955
2018-11-30,0.01711709222638913,0.061105226535884793,0.12624436318777388,0.06144647803211001,0.12975476489951676,-0.032811695642721794,-0.03378906365369383,-0.019746729955308573,-0.018084510408559296,0.016564606566020545,0.015234276433186644
2018-12-31,-0.053456577518435355,-0.0058768926921032305,0.05969312811056049,-0.00507363442976505,0.06324694538060982,-0.10732394148416202,-0.11409386651098419,-0.09432173005923628,-0.09562146245294012,-0.06156350248992626,-0.06235861857163871
2019-01-31,0.009531025062448406,0.08905553142857714,0.16042000348397367,0.08227400541241114,0.16533742658523465,-0.03767616143740593,-0.03877002907313887,-0.02510397821641197,-0.024575105693582566,0.031856411312486066,0.028173588019940965
2019-02-28,0.03542822334104623,0.11970696012376625,0.17218429981975503,0.10748352338124234,0.17628550246808705,-0.0203247087455376,-0.023895156602840584,-0.008737911114158559,-0.008311422762619758,0.05040256812026922,0.044840162081937196
2019-03-31,0.04997326648297362,0.07694395640896079,0.18385735284646054,0.07293516983972637,0.1885949148987517,0.004114956957032678,0.0009457975423549092,0.015611932569243647,0.01676075420826506,0.07067228645891077,0.06686731609458652
2019-04-30,0.0829413334053094,0.08236623895400952,0.19462675997117607,0.07789373586978121,0.19962070450672698,0.016957075975925218,0.019613531528748784,0.04018516384937265,0.04154866028219706,0.1040133658995529,0.10157118733097192
2019-05-31,0.031095978840840144,0.06942832400853405,0.19074205481914575,0.06648374818105873,0.1938270229282334,-0.02118721123848777,-0.02074697763158695,0.0019071865003478239,0.0022711966901064473,0.055554294937344095,0.060738635585154355
2019-06-30,0.08698599207682489,0.11562100045135537,0.2323305004484454,0.10756711220676674,0.24045501891716092,0.019621294471787176,0.02249479452944847,0.047445305807167215,0.04746771621507373,0.10957427916191154,0.11555297033844136
2019-07-31,0.0992736993149973,0.14527006886643523,0.23826594234095977,0.13433505958223213,0.24646158571066035,0.025668194310760284,0.026657478763342235,0.05226396481809814,0.05210704793619392,0.11651894014238573,0.12286729745730984
2019-08-31,0.0856072173979947,0.13581324598027433,0.2557355032673708,0.12583577610486274,0.2655784384165133,0.019077484954901802,0.015518605349003733,0.041697986423619104,0.04457356777773691,0.11426732055094768,0.11747805726729244
2019-09-30,0.101442466013423,0.15223355147420503,0.2662242003348413,0.14141725976363229,0.27716558687944837,0.041104760816698116,0.03913209935643036,0.060047929959786916,0.06476830534707212,0.13077680563249294,0.12717805458941167
2019-10-31,0.11948773616920749,0.12941374996348087,0.27626994628876955,0.1214189052041289,0.2872238989507946,0.04976292088569889,0.05322214269634218,0.0746336029212109,0.08126617366211242,0.15710567665969788,0.16145938075069544
2019-11-30,0.14914104391711924,0.16137441982553358,0.3028181875648067,0.14992583452709807,0.3138093749638843,0.06431080459228489,0.06962380788829337,0.10023045694235333,0.10573495492213258,0.19727726755008868,0.20783242610993002
2019-12-31,0.1730910805244008,0.23477915518333425,0.39246986544800955,0.2192236120762866,0.4030989889553894,0.07962606938304106,0.08918805577782596,0.11456933534291713,0.12226924821883423,0.22186875374273285,0.2519735303929458
2020-01-31,0.17274904673889158,0.2767137317789137,0.4381857351366917,0.261369086078996,0.4478976953346506,0.09288716791901308,0.09603372263582077,0.11848330969109555,0.12362546396848317,0.22391155958843267,0.2624236650453977
2020-02-29,0.1071613678838117,0.1789544453131019,0.3787546844706061,0.1638078385497469,0.38752075495695293,0.03531383626683815,0.024207572118902565,0.04338433651055951,0.048102163155845146,0.1511724048398677,0.19719743908257203
2020-03-31,0.005197984568427794,0.15949952373510667,0.362121791273991,0.14497164512112282,0.37068151895300017,-0.09465270845166518,-0.12178397722390011,-0.10227758254080288,-0.09233289335019024,-0.004786544330198095,0.10014601859818661
2020-04-30,0.10625516063528972,0.292349565888556,0.49073942898032563,0.2775036034891195,0.49877151854165613,-0.002463330378047135,-0.08061093200901082,-0.04662181555763989,-0.03644965762013885,0.06918226687764328,0.1830038712380071
2020-05-31,0.14505311768507667,0.33165276575731495,0.5160906227794709,0.3176230082293442,0.5240765439974737,-0.002684366230284785,-0.06987830692786645,-0.030777606920051825,-0.020614956147351537,0.10818768954395008,0.20562158945765385
2020-06-30,0.15961425121778472,0.4285689700746429,0.4952488408022293,0.4153936745792125,0.5032536688898536,0.04474773452980563,-0.03870059360710554,0.009432445360248565,0.018960852537013184,0.1870399547320153,0.23961841726739652
2020-07-31,0.2081304643616002,0.5547799812363741,0.6035600942441977,0.5430388330139294,0.6253969693453613,0.1342522665999918,0.03678749091163247,0.08729937122586828,0.0950162220998968,0.25348972800190384,0.3880635631968945
2020-08-31,0.266208040633815,0.6231259101639477,0.7050847251698322,0.6122300771273709,0.7364094873887385,0.17619596500193613,0.0909881184639737,0.1384422844206301,0.14685763078512093,0.295666625604445,0.4823708654065726
2020-09-30,0.23470675298052546,0.5367064475701252,0.6145865318413896,0.5269255610342027,0.6411811050851312,0.12723209934823398,0.036448312500129476,0.08354459459712404,0.09238843346032422,0.24546420528806578,0.4140976049051788
2020-10-31,0.21385295008025906,0.4750080031158207,0.5349517683378694,0.4658992462464443,0.5604648731260053,0.10843455919524636,0.012053736560560302,0.06447434281212716,0.07045843127560802,0.22912089451880568,0.37420958497389734
2020-11-30,0.3044398714820278,0.5706020077619055,0.713473099344032,0.5608062312727927,0.7412473794093029,0.15761398152589445,0.0774149260732403,0.14514861185462824,0.15854301591454978,0.3573529610123207,0.4916376584346318
2020-12-31,0.3357944496772445,0.6020453786518788,0.728874040166044,0.5926995665675628,0.7566857231694379,0.18617305689713814,0.1106791098142571,0.17831174761321977,0.19136049449573034,0.39179668835271153,0.5200526095302525
2021-01-31,0.3271148738209759,0.530540875954244,0.6914350698271036,0.5220859222060119,0.718682121724912,0.15403964673097648,0.08903688089795048,0.15348045954909417,0.1696108363303649,0.3623840578749009,0.49035994130814975
2021-02-28,0.35075491415623583,0.6052434067011447,0.6609780176973633,0.5952885852976257,0.6870778791656534,0.17117252619336132,0.10037769976024902,0.18050613768309987,0.1942862415460208,0.39719343689786446,0.4930755214117991
2021-03-31,0.389492669995962,0.6335199011051671,0.6276113525935049,0.623613897427836,0.6520969819721685,0.25164386844521147,0.17413450935181252,0.24706325112185779,0.2570446349011076,0.4598635379398832,0.5058864620385247
2021-04-30,0.4337199951586421,0.6441219020695803,0.6533010349348357,0.6334998852221778,0.6794984254658438,0.27288019617899206,0.18949419167408998,0.26620515669608324,0.27614106577542896,0.4865296590469117,0.5466724584274502
